No;Jenis;E;N;Kelurahan;Kecamatan;Kabupaten ;Tahun;;;;Photos
49;Jalur Evakuasi;-7.76974;113.21659;Kanigaran;Kanigaran;Kota Probolinggo;2021;;0049;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0049.png
50;Jalur Evakuasi;-7.76512;113.20199;Kanigaran;Kanigaran;Kota Probolinggo;2021;;0050;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0050.png
51;Jalur Evakuasi;-7.52536;111.63884;Purworejo;Pilangkenceng;Kota Madiun;2021;;0051;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0051.png
52;Jalur Evakuasi;-7.52418;111.64169;Purworejo;Pilangkenceng;Kota Madiun;2021;;0052;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0052.png
53;Jalur Evakuasi;-7.52335;111.64092;Purworejo;Pilangkenceng;Kota Madiun;2021;;0053;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0053.png
54;Titik Kumpul;-7.52702;111.71081;Klumutan;Saradan;Kota Madiun;2021;;0054;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0054.png
55;Banjir;-7.5299;111.71187;Klumutan;Saradan;Kota Madiun;2021;;0055;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0055.png
56;Titik Kumpul;-7.52769;111.71192;Klumutan;Saradan;Kota Madiun;2021;;0056;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0056.png
57;Banjir;-7.52728;111.71077;Klumutan;Saradan;Kota Madiun;2021;;0057;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0057.png
58;Jalur Evakuasi;-7.46988;111.75216;Sumberbendo;Saradan;Kota Madiun;2021;;0058;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0058.png
59;Jalur Evakuasi;-7.46598;111.7495;Sumberbendo;Saradan;Kota Madiun;2021;;0059;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0059.png
60;Titik Kumpul;-7.4686;111.75458;Sumberbendo;Saradan;Kota Madiun;2021;;0060;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0060.png
61;Jalur Evakuasi;-7.46993;111.75349;Sumberbendo;Saradan;Kota Madiun;2021;;0061;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0061.png
62;Jalur Evakuasi;-7.62335;111.69274;Tawangrejo;Gemarang;Kota Madiun;2021;;0062;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0062.png
63;Jalur Evakuasi;-7.65541;111.70088;Plosorejo;Gemarang;Kota Madiun;2021;;0063;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0063.png
64;Longsor;-7.6536;111.72892;Tawangrejo;Gemarang;Kota Madiun;2021;;0064;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0064.png
65;Jalur Evakuasi;-7.63532;111.69284;Tawangrejo;Gemarang;Kota Madiun;2021;;0065;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0065.png
66;Longsor;-7.62056;111.69237;Tawangrejo;Gemarang;Kota Madiun;2021;;0066;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0066.png
67;Longsor;-7.69715;111.71129;Batok;Gemarang;Kota Madiun;2021;;0067;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0067.png
68;Titik Kumpul;-7.51859;111.66285;Kedungrejo;Pilangkenceng;Kota Madiun;2021;;0068;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0068.png
69;Banjir;-7.5255;111.64722;Ngampel;Mejayan;Kota Madiun;2021;;0069;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0069.png
70;Jalur Evakuasi;-7.52579;111.65154;Kedungrejo;Pilangkenceng;Kota Madiun;2021;;0070;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0070.png
71;Jalur Evakuasi;-7.52679;111.63711;Buduran;Pilangkenceng;Kota Madiun;2021;;0071;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0071.png
72;Titik Kumpul;-7.52225;111.6382;Purworejo;Pilangkenceng;Kota Madiun;2021;;0072;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0072.png
73;Jalur Evakuasi;-7.52442;111.6352;Purworejo;Pilangkenceng;Kota Madiun;2021;;0073;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0073.png
74;Jalur Evakuasi;-7.5279;111.7098;Klumutan;Saradan;Kota Madiun;2021;;0074;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0074.png
75;Banjir;-7.52869;111.72797;Klumutan;Saradan;Kota Madiun;2021;;0075;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0075.png
76;Banjir;-7.52795;111.71173;Klumutan;Saradan;Kota Madiun;2021;;0076;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0076.png
77;Jalur Evakuasi;-7.52897;111.70888;Klumutan;Saradan;Kota Madiun;2021;;0077;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0077.png
78;Jalur Evakuasi;-7.46924;111.7488;Sumberbendo;Saradan;Kota Madiun;2021;;0078;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0078.png
79;Jalur Evakuasi;-7.46791;111.75616;Sumberbendo;Saradan;Kota Madiun;2021;;0079;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0079.png
80;Jalur Evakuasi;-7.46841;111.75236;Sumberbendo;Saradan;Kota Madiun;2021;;0080;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0080.png
81;Jalur Evakuasi;-7.47344;111.76149;Sumberbendo;Saradan;Kota Madiun;2021;;0081;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0081.png
82;Jalur Evakuasi;-7.62566;111.69345;Tawangrejo;Gemarang;Kota Madiun;2021;;0082;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0082.png
83;Jalur Evakuasi;-7.65173;111.71104;Tawangrejo;Gemarang;Kota Madiun;2021;;0083;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0083.png
84;Longsor;-7.65844;111.72764;Tawangrejo;Gemarang;Kota Madiun;2021;;0084;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0084.png
85;Longsor;-7.62501;111.6922;Tawangrejo;Gemarang;Kota Madiun;2021;;0085;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0085.png
86;Longsor;-7.6935;111.73014;Durenan;Gemarang;Kota Madiun;2021;;0086;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0086.png
87;Titik Kumpul;-7.6978;111.71423;Batok;Gemarang;Kota Madiun;2021;;0087;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0087.png
88;Banjir;-7.51751;111.66302;Kedungmaron;Pilangkenceng;Kota Madiun;2021;;0088;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0088.png
89;Jalur Evakuasi;-7.52545;111.64733;Ngampel;Mejayan;Kota Madiun;2021;;0089;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0089.png
90;Titik Kumpul;-7.52704;111.65226;Kedungrejo;Pilangkenceng;Kota Madiun;2021;;0090;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0090.png
91;Jalur Evakuasi;-7.52426;111.63578;Purworejo;Pilangkenceng;Kota Madiun;2021;;0091;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0091.png
92;Titik Kumpul;-7.52347;111.63583;Purworejo;Pilangkenceng;Kota Madiun;2021;;0092;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0092.png
93;Banjir;-7.52544;111.64376;Purworejo;Pilangkenceng;Kota Madiun;2021;;0093;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0093.png
94;Jalur Evakuasi;-7.52859;111.71132;Klumutan;Saradan;Kota Madiun;2021;;0094;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0094.png
95;Jalur Evakuasi;-7.52818;111.71035;Klumutan;Saradan;Kota Madiun;2021;;0095;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0095.png
96;Jalur Evakuasi;-7.52869;111.71021;Klumutan;Saradan;Kota Madiun;2021;;0096;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0096.png
97;Jalur Evakuasi;-7.52767;111.71056;Klumutan;Saradan;Kota Madiun;2021;;0097;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0097.png
98;Jalur Evakuasi;-7.4685;111.74654;Sumberbendo;Saradan;Kota Madiun;2021;;0098;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0098.png
99;Jalur Evakuasi;-7.46345;111.74373;Sumberbendo;Saradan;Kota Madiun;2021;;0099;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0099.png
100;Jalur Evakuasi;-7.4698;111.75346;Sumberbendo;Saradan;Kota Madiun;2021;;0100;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0100.png
101;Jalur Evakuasi;-7.47358;111.75819;Sumberbendo;Saradan;Kota Madiun;2021;;0101;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0101.png
102;Jalur Evakuasi;-7.63564;111.69611;Tawangrejo;Gemarang;Kota Madiun;2021;;0102;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0102.png
103;Jalur Evakuasi;-7.65916;111.72748;Tawangrejo;Gemarang;Kota Madiun;2021;;0103;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0103.png
104;Jalur Evakuasi;-7.65352;111.72899;Tawangrejo;Gemarang;Kota Madiun;2021;;0104;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0104.png
105;Jalur Evakuasi;-7.665188;111.69906;Tawangrejo;Gemarang;Kota Madiun;2021;;0105;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0105.png
106;Longsor;-7.70159;111.74102;Durenan;Gemarang;Kota Madiun;2021;;0106;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0106.png
107;Longsor;-7.69807;111.71203;Batok;Gemarang;Kota Madiun;2021;;0107;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0107.png
108;Jalur Evakuasi;-7.51759;111.66299;Kedungmaron;Gemarang;Kota Madiun;2021;;0108;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0108.png
109;Jalur Evakuasi;-7.52555;111.64805;Kedungrejo;Pilangkenceng;Kota Madiun;2021;;0109;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0109.png
110;Jalur Evakuasi;-7.52889;111.65299;Nambangan Lor;Mangunharjo;Kota Madiun;2021;;0110;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0110.png
111;Banjir;-7.52402;111.63241;Purworejo;Pilangkenceng;Kota Madiun;2021;;0111;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0111.png
112;Jalur Evakuasi;-7.52308;111.64169;Purworejo;Pilangkenceng;Kota Madiun;2021;;0112;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0112.png
113;Jalur Evakuasi;-7.52395;111.63243;Purworejo;Pilangkenceng;Kota Madiun;2021;;0113;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0113.png
114;Jalur Evakuasi;-7.52818;111.71033;Klumutan;Saradan;Kota Madiun;2021;;0114;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0114.png
115;Jalur Evakuasi;-7.5287;111.70921;Klumutan;Saradan;Kota Madiun;2021;;0115;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0115.png
116;Jalur Evakuasi;-7.52811;111.71283;Klumutan;Saradan;Kota Madiun;2021;;0116;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0116.png
117;Jalur Evakuasi;-7.5282;111.7118;Klumutan;Saradan;Kota Madiun;2021;;0117;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0117.png
118;Jalur Evakuasi;-7.46773;111.74366;Sumberbendo;Saradan;Kota Madiun;2021;;0118;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0118.png
119;Jalur Evakuasi;-7.46913;111.7624;Sumberbendo;Saradan;Kota Madiun;2021;;0119;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0119.png
120;Longsor;-7.47282;111.7526;Sumberbendo;Saradan;Kota Madiun;2021;;0120;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0120.png
121;Longsor;-7.47391;111.74961;Sumberbendo;Saradan;Kota Madiun;2021;;0121;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0121.png
122;Jalur Evakuasi;-7.61445;111.69429;Tawangrejo;Gemarang;Kota Madiun;2021;;0122;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0122.png
123;Jalur Evakuasi;-7.63897;111.69552;Tawangrejo;Gemarang;Kota Madiun;2021;;0123;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0123.png
124;Jalur Evakuasi;-7.65641;111.71582;Tawangrejo;Gemarang;Kota Madiun;2021;;0124;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0124.png
125;Jalur Evakuasi;-7.65242;111.71299;Tawangrejo;Gemarang;Kota Madiun;2021;;0125;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0125.png
126;Longsor;-7.72413;111.73413;Durenan;Gemarang;Kota Madiun;2021;;0126;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0126.png
127;Longsor;-7.69964;111.71535;Batok;Gemarang;Kota Madiun;2021;;0127;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0127.png
128;Jalur Evakuasi;-7.51775;111.66522;Kedungrejo;Pilangkenceng;Kota Madiun;2021;;0128;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0128.png
129;Jalur Evakuasi;-7.52528;111.65016;Kedungmaron;Pilangkenceng;Kota Madiun;2021;;0129;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0129.png
130;Jalur Evakuasi;-7.529;111.65469;Kedungmaron;Pilangkenceng;Kota Madiun;2021;;0130;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0130.png
131;Banjir;-7.52408;111.64015;Purworejo;Pilangkenceng;Kota Madiun;2021;;0131;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0131.png
132;Jalur Evakuasi;-7.52536;111.63884;Purworejo;Pilangkenceng;Kota Madiun;2021;;0132;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0132.png
133;Jalur Evakuasi;-7.52339;111.64012;Purworejo;Pilangkenceng;Kota Madiun;2021;;0133;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0133.png
134;Jalur Evakuasi;-7.5284;111.71122;Klumutan;Saradan;Kota Madiun;2021;;0134;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0134.png
135;Jalur Evakuasi;-7.52845;111.71187;Klumutan;Saradan;Kota Madiun;2021;;0135;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0135.png
136;Jalur Evakuasi;-7.52886;111.71018;Klumutan;Saradan;Kota Madiun;2021;;0136;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0136.png
137;Jalur Evakuasi;-7.52892;111.71419;Klumutan;Saradan;Kota Madiun;2021;;0137;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0137.png
138;Jalur Evakuasi;-7.46848;111.76025;Klumutan;Saradan;Kota Madiun;2021;;0138;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0138.png
139;Longsor;-7.47444;111.74312;Sumberbendo;Saradan;Kota Madiun;2021;;0139;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0139.png
140;Longsor;-7.47339;111.75212;Sumberbendo;Saradan;Kota Madiun;2021;;0140;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0140.png
141;Titik Kumpul;-7.65086;111.69832;Tawangrejo;Gemarang;Kota Madiun;2021;;0141;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0141.png
142;Jalur Evakuasi;-7.62027;111.69219;Tawangrejo;Gemarang;Kota Madiun;2021;;0142;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0142.png
143;Jalur Evakuasi;-7.65604;111.71378;Tawangrejo;Gemarang;Kota Madiun;2021;;0143;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0143.png
144;Jalur Evakuasi;-7.66149;111.72158;Tawangrejo;Gemarang;Kota Madiun;2021;;0144;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0144.png
145;Titik Kumpul;-7.65379;111.71358;Tawangrejo;Gemarang;Kota Madiun;2021;;0145;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0145.png
146;Longsor;-7.72116;111.73467;Durenan;Gemarang;Kota Madiun;2021;;0146;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0146.png
147;Longsor;-7.69514;111.72841;Batok;Gemarang;Kota Madiun;2021;;0147;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0147.png
148;Jalur Evakuasi;-7.51543;111.66167;Kedungmaron;Pilangkenceng;Kota Madiun;2021;;0148;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0148.png
149;Jalur Evakuasi;-7.52569;111.64491;Purworejo;Pilangkenceng;Kota Madiun;2021;;0149;;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0149.png
